/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.230 now:    182.867 diff:   +177.637 Peak was:      5.230 now:   8191.242 diff:  +8186.012 test_perf_py_tuple_string_to_vector
====RSS(Mb): was:      5.230 now:    182.895 diff:   +177.664 Peak was:      5.230 now:   8191.242 diff:  +8186.012 ==== test_performance.cpp
Number of tests: 200
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0    1024       1     0.000108857             N/A             N/A             N/A         1        9186.3 test_py_tuple_string_to_vector<std::string[256]>():[1024]
TEST:    0    2048       1     0.000240725             N/A             N/A             N/A         1        4154.1 test_py_tuple_string_to_vector<std::string[256]>():[2048]
TEST:    0    4096       1     0.000479060             N/A             N/A             N/A         1        2087.4 test_py_tuple_string_to_vector<std::string[256]>():[4096]
TEST:    0    8192       1     0.000910022             N/A             N/A             N/A         1        1098.9 test_py_tuple_string_to_vector<std::string[256]>():[8192]
TEST:    0   16384       1     0.001957019             N/A             N/A             N/A         1         511.0 test_py_tuple_string_to_vector<std::string[256]>():[16384]
TEST:    0   32768       1     0.003897104             N/A             N/A             N/A         1         256.6 test_py_tuple_string_to_vector<std::string[256]>():[32768]
TEST:    0   65536       1     0.006929640             N/A             N/A             N/A         1         144.3 test_py_tuple_string_to_vector<std::string[256]>():[65536]
TEST:    0  131072       1     0.017097307             N/A             N/A             N/A         1          58.5 test_py_tuple_string_to_vector<std::string[256]>():[131072]
TEST:    0  262144       1     0.040975576             N/A             N/A             N/A         1          24.4 test_py_tuple_string_to_vector<std::string[256]>():[262144]
TEST:    0  524288       1     0.086835841             N/A             N/A             N/A         1          11.5 test_py_tuple_string_to_vector<std::string[256]>():[524288]
TEST:    0 1048576       1     0.182461898             N/A             N/A             N/A         1           5.5 test_py_tuple_string_to_vector<std::string[256]>():[1048576]
TEST:    0       2       1     0.000001140             N/A             N/A             N/A         1      876808.4 test_py_tuple_string_to_vector<std::string[512]>():[2]
TEST:    0       4       1     0.000000997             N/A             N/A             N/A         1     1002506.3 test_py_tuple_string_to_vector<std::string[512]>():[4]
TEST:    0       8       1     0.000001507             N/A             N/A             N/A         1      663790.2 test_py_tuple_string_to_vector<std::string[512]>():[8]
TEST:    0      16       1     0.000002558             N/A             N/A             N/A         1      391006.8 test_py_tuple_string_to_vector<std::string[512]>():[16]
TEST:    0      32       1     0.000004363             N/A             N/A             N/A         1      229226.4 test_py_tuple_string_to_vector<std::string[512]>():[32]
TEST:    0      64       1     0.000008595             N/A             N/A             N/A         1      116353.5 test_py_tuple_string_to_vector<std::string[512]>():[64]
TEST:    0     128       1     0.000015703             N/A             N/A             N/A         1       63684.1 test_py_tuple_string_to_vector<std::string[512]>():[128]
TEST:    0     256       1     0.000030305             N/A             N/A             N/A         1       32998.4 test_py_tuple_string_to_vector<std::string[512]>():[256]
TEST:    0     512       1     0.000060816             N/A             N/A             N/A         1       16443.2 test_py_tuple_string_to_vector<std::string[512]>():[512]
TEST:    0    1024       1     0.000193290             N/A             N/A             N/A         1        5173.6 test_py_tuple_string_to_vector<std::string[512]>():[1024]
TEST:    0    2048       1     0.000322332             N/A             N/A             N/A         1        3102.4 test_py_tuple_string_to_vector<std::string[512]>():[2048]
TEST:    0    4096       1     0.000615116             N/A             N/A             N/A         1        1625.7 test_py_tuple_string_to_vector<std::string[512]>():[4096]
TEST:    0    8192       1     0.001294758             N/A             N/A             N/A         1         772.3 test_py_tuple_string_to_vector<std::string[512]>():[8192]
TEST:    0   16384       1     0.002379742             N/A             N/A             N/A         1         420.2 test_py_tuple_string_to_vector<std::string[512]>():[16384]
TEST:    0   32768       1     0.006917090             N/A             N/A             N/A         1         144.6 test_py_tuple_string_to_vector<std::string[512]>():[32768]
TEST:    0   65536       1     0.018589345             N/A             N/A             N/A         1          53.8 test_py_tuple_string_to_vector<std::string[512]>():[65536]
TEST:    0  131072       1     0.036890249             N/A             N/A             N/A         1          27.1 test_py_tuple_string_to_vector<std::string[512]>():[131072]
TEST:    0  262144       1     0.072334731             N/A             N/A             N/A         1          13.8 test_py_tuple_string_to_vector<std::string[512]>():[262144]
TEST:    0  524288       1     0.145350398             N/A             N/A             N/A         1           6.9 test_py_tuple_string_to_vector<std::string[512]>():[524288]
TEST:    0 1048576       1     0.302812395             N/A             N/A             N/A         1           3.3 test_py_tuple_string_to_vector<std::string[512]>():[1048576]
TEST:    0       2       1     0.000000873             N/A             N/A             N/A         1     1146131.8 test_py_tuple_string_to_vector<std::string[1024]>():[2]
TEST:    0       4       1     0.000000980             N/A             N/A             N/A         1     1019887.8 test_py_tuple_string_to_vector<std::string[1024]>():[4]
TEST:    0       8       1     0.000001921             N/A             N/A             N/A         1      520697.7 test_py_tuple_string_to_vector<std::string[1024]>():[8]
TEST:    0      16       1     0.000003243             N/A             N/A             N/A         1      308308.9 test_py_tuple_string_to_vector<std::string[1024]>():[16]
TEST:    0      32       1     0.000007421             N/A             N/A             N/A         1      134761.8 test_py_tuple_string_to_vector<std::string[1024]>():[32]
TEST:    0      64       1     0.000039474             N/A             N/A             N/A         1       25333.5 test_py_tuple_string_to_vector<std::string[1024]>():[64]
TEST:    0     128       1     0.000067962             N/A             N/A             N/A         1       14714.2 test_py_tuple_string_to_vector<std::string[1024]>():[128]
TEST:    0     256       1     0.000143315             N/A             N/A             N/A         1        6977.6 test_py_tuple_string_to_vector<std::string[1024]>():[256]
TEST:    0     512       1     0.000311393             N/A             N/A             N/A         1        3211.4 test_py_tuple_string_to_vector<std::string[1024]>():[512]
TEST:    0    1024       1     0.000606634             N/A             N/A             N/A         1        1648.4 test_py_tuple_string_to_vector<std::string[1024]>():[1024]
TEST:    0    2048       1     0.001290441             N/A             N/A             N/A         1         774.9 test_py_tuple_string_to_vector<std::string[1024]>():[2048]
TEST:    0    4096       1     0.002979976             N/A             N/A             N/A         1         335.6 test_py_tuple_string_to_vector<std::string[1024]>():[4096]
TEST:    0    8192       1     0.004569920             N/A             N/A             N/A         1         218.8 test_py_tuple_string_to_vector<std::string[1024]>():[8192]
TEST:    0   16384       1     0.010612151             N/A             N/A             N/A         1          94.2 test_py_tuple_string_to_vector<std::string[1024]>():[16384]
TEST:    0   32768       1     0.021201514             N/A             N/A             N/A         1          47.2 test_py_tuple_string_to_vector<std::string[1024]>():[32768]
TEST:    0   65536       1     0.041311580             N/A             N/A             N/A         1          24.2 test_py_tuple_string_to_vector<std::string[1024]>():[65536]
TEST:    0  131072       1     0.090446915             N/A             N/A             N/A         1          11.1 test_py_tuple_string_to_vector<std::string[1024]>():[131072]
TEST:    0  262144       1     0.194227676             N/A             N/A             N/A         1           5.1 test_py_tuple_string_to_vector<std::string[1024]>():[262144]
TEST:    0  524288       1     0.421386804             N/A             N/A             N/A         1           2.4 test_py_tuple_string_to_vector<std::string[1024]>():[524288]
TEST:    0 1048576       1     0.863587167             N/A             N/A             N/A         1           1.2 test_py_tuple_string_to_vector<std::string[1024]>():[1048576]
TEST:    0       2       1     0.000001639             N/A             N/A             N/A         1      609942.1 test_py_tuple_string_to_vector<std::string[2048]>():[2]
TEST:    0       4       1     0.000001538             N/A             N/A             N/A         1      649983.8 test_py_tuple_string_to_vector<std::string[2048]>():[4]
TEST:    0       8       1     0.000003168             N/A             N/A             N/A         1      315706.4 test_py_tuple_string_to_vector<std::string[2048]>():[8]
TEST:    0      16       1     0.000006600             N/A             N/A             N/A         1      151503.7 test_py_tuple_string_to_vector<std::string[2048]>():[16]
TEST:    0      32       1     0.000013216             N/A             N/A             N/A         1       75668.7 test_py_tuple_string_to_vector<std::string[2048]>():[32]
TEST:    0      64       1     0.000022953             N/A             N/A             N/A         1       43568.2 test_py_tuple_string_to_vector<std::string[2048]>():[64]
TEST:    0     128       1     0.000042049             N/A             N/A             N/A         1       23782.1 test_py_tuple_string_to_vector<std::string[2048]>():[128]
TEST:    0     256       1     0.000101963             N/A             N/A             N/A         1        9807.5 test_py_tuple_string_to_vector<std::string[2048]>():[256]
TEST:    0     512       1     0.000171536             N/A             N/A             N/A         1        5829.7 test_py_tuple_string_to_vector<std::string[2048]>():[512]
TEST:    0    1024       1     0.000985374             N/A             N/A             N/A         1        1014.8 test_py_tuple_string_to_vector<std::string[2048]>():[1024]
TEST:    0    2048       1     0.001771491             N/A             N/A             N/A         1         564.5 test_py_tuple_string_to_vector<std::string[2048]>():[2048]
TEST:    0    4096       1     0.002112833             N/A             N/A             N/A         1         473.3 test_py_tuple_string_to_vector<std::string[2048]>():[4096]
TEST:    0    8192       1     0.005139434             N/A             N/A             N/A         1         194.6 test_py_tuple_string_to_vector<std::string[2048]>():[8192]
TEST:    0   16384       1     0.008477060             N/A             N/A             N/A         1         118.0 test_py_tuple_string_to_vector<std::string[2048]>():[16384]
TEST:    0   32768       1     0.034567433             N/A             N/A             N/A         1          28.9 test_py_tuple_string_to_vector<std::string[2048]>():[32768]
TEST:    0   65536       1     0.066632126             N/A             N/A             N/A         1          15.0 test_py_tuple_string_to_vector<std::string[2048]>():[65536]
TEST:    0  131072       1     0.153667911             N/A             N/A             N/A         1           6.5 test_py_tuple_string_to_vector<std::string[2048]>():[131072]
TEST:    0  262144       1     0.343500623             N/A             N/A             N/A         1           2.9 test_py_tuple_string_to_vector<std::string[2048]>():[262144]
TEST:    0  524288       1     0.695529023             N/A             N/A             N/A         1           1.4 test_py_tuple_string_to_vector<std::string[2048]>():[524288]
TEST:    0 1048576       1     1.754831946             N/A             N/A             N/A         1           0.6 test_py_tuple_string_to_vector<std::string[2048]>():[1048576]
TEST:    0       2       1     0.000001393             N/A             N/A             N/A         1      718132.9 test_py_tuple_string_to_vector<std::string[4096]>():[2]
TEST:    0       4       1     0.000001538             N/A             N/A             N/A         1      650406.5 test_py_tuple_string_to_vector<std::string[4096]>():[4]
TEST:    0       8       1     0.000003422             N/A             N/A             N/A         1      292184.1 test_py_tuple_string_to_vector<std::string[4096]>():[8]
TEST:    0      16       1     0.000006247             N/A             N/A             N/A         1      160064.0 test_py_tuple_string_to_vector<std::string[4096]>():[16]
TEST:    0      32       1     0.000012923             N/A             N/A             N/A         1       77384.4 test_py_tuple_string_to_vector<std::string[4096]>():[32]
TEST:    0      64       1     0.000025682             N/A             N/A             N/A         1       38938.5 test_py_tuple_string_to_vector<std::string[4096]>():[64]
TEST:    0     128       1     0.000051426             N/A             N/A             N/A         1       19445.2 test_py_tuple_string_to_vector<std::string[4096]>():[128]
TEST:    0     256       1     0.000104788             N/A             N/A             N/A         1        9543.0 test_py_tuple_string_to_vector<std::string[4096]>():[256]
TEST:    0     512       1     0.000213145             N/A             N/A             N/A         1        4691.6 test_py_tuple_string_to_vector<std::string[4096]>():[512]
